contrast,dissimilarity,homogeneity,energy,correlation,entropy,asm
[0.0],[0.0],[1.0],[0.03331686316811577],[58496433479.105545],[4.785950536126451],[0.03331686316811577]
[0.0],[0.0],[1.0],[0.015769047195537636],[115962916833.74188],[5.06911585203433],[0.015769047195537636]
[0.0],[0.0],[1.0],[0.019378025138748527],[55858101435.21372],[4.817616895120201],[0.019378025138748527]
[0.0],[0.0],[1.0],[0.01564276742047504],[132458157564.98894],[5.059166861346185],[0.01564276742047504]
[0.0],[0.0],[0.9999999999999999],[0.018477080478893567],[119995369843.24225],[5.017892752189878],[0.018477080478893567]
[0.0],[0.0],[1.0],[0.013764608732298244],[133974636980.38614],[5.0892354188492455],[0.013764608732298244]
[0.0],[0.0],[0.9999999999999999],[0.028650817902442248],[52209525246.40082],[4.902609765069425],[0.028650817902442248]
[0.0],[0.0],[1.0],[0.008104447960499122],[220760164912.77005],[5.0754361058493],[0.008104447960499122]
[0.0],[0.0],[1.0],[0.00753664969512464],[205631971246.17984],[5.299834817342916],[0.00753664969512464]
[0.0],[0.0],[1.0],[0.013294708406260505],[145252416108.92197],[5.05800667456883],[0.013294708406260505]
[0.0],[0.0],[1.0],[0.03273188429951667],[63034383912.22911],[4.966287780504382],[0.03273188429951667]
[0.0],[0.0],[1.0],[0.04037518973773306],[46501615393.4023],[4.783522968269237],[0.04037518973773306]
[0.0],[0.0],[1.0],[0.04420524443723178],[36147806258.2471],[4.726568686672619],[0.04420524443723178]
[0.0],[0.0],[1.0],[0.03133426311401927],[55869533154.00488],[4.886522164017212],[0.03133426311401927]
[0.0],[0.0],[1.0],[0.040743200115592786],[35916480674.33275],[4.666288194193918],[0.040743200115592786]
[0.0],[0.0],[1.0],[0.040100595954715934],[60183733213.30682],[4.6450945624069675],[0.040100595954715934]
[0.0],[0.0],[1.0],[0.06433688322641498],[37936592889.8268],[4.506103610010791],[0.06433688322641498]
[0.0],[0.0],[1.0],[0.01965421256530039],[93920751480.14041],[5.098219768451862],[0.01965421256530039]
[0.0],[0.0],[1.0],[0.021242010441439956],[101430507150.0208],[4.941373315705903],[0.021242010441439956]
[0.0],[0.0],[1.0],[0.03708918045017373],[50260134883.14428],[4.777118888492127],[0.03708918045017373]
[0.0],[0.0],[0.9999999999999999],[0.04487411917572719],[47727548932.05115],[4.743441550762425],[0.04487411917572719]
[0.0],[0.0],[1.0],[0.057411900287391945],[50933547566.9261],[4.2873256461941125],[0.057411900287391945]
[0.0],[0.0],[1.0],[0.05239685965840029],[40821100151.603645],[4.6644473030113565],[0.05239685965840029]
[0.0],[0.0],[1.0],[0.02785889242670257],[87564169513.80905],[4.910349995326048],[0.02785889242670257]
[0.0],[0.0],[1.0],[0.042966276987445],[48712300355.00145],[4.770039835865397],[0.042966276987445]
[0.0],[0.0],[1.0],[0.041188051884095585],[58132374421.951164],[4.710304631170858],[0.041188051884095585]
[0.0],[0.0],[1.0],[0.029392508838798414],[89738162887.50223],[4.774806385925167],[0.029392508838798414]
[0.0],[0.0],[1.0],[0.011863763156051917],[193014409798.0476],[5.161141822233244],[0.011863763156051917]
[0.0],[0.0],[1.0],[0.006541734779056122],[323877218473.33496],[5.276879393319465],[0.006541734779056122]
[0.0],[0.0],[1.0],[0.03263266440514619],[73526758411.10101],[4.7066214146492635],[0.03263266440514619]
[0.0],[0.0],[1.0],[0.04151688060386524],[35272795531.67394],[4.651027023261655],[0.04151688060386524]
[0.0],[0.0],[1.0],[0.026055588010193975],[102943528164.64052],[4.848939574833647],[0.026055588010193975]
[0.0],[0.0],[1.0],[0.021550041855643246],[100164026539.40833],[4.931015670820759],[0.021550041855643246]
[0.0],[0.0],[1.0],[0.03179022224741986],[63886668853.01158],[4.925397841984437],[0.03179022224741986]
[0.0],[0.0],[1.0],[0.019417185941887044],[101454595905.81679],[5.036567269495226],[0.019417185941887044]
[0.0],[0.0],[1.0],[0.03334563326111002],[65561593461.73576],[4.8786302739892635],[0.03334563326111002]
[0.0],[0.0],[1.0],[0.05358463957968738],[40012522620.33174],[4.648548892359527],[0.05358463957968738]
[0.0],[0.0],[0.9999999999999999],[0.03514264233072481],[50443184825.55948],[4.7647513933155],[0.03514264233072481]
[0.0],[0.0],[1.0],[0.024913002150741215],[83591922414.58911],[4.981407622166299],[0.024913002150741215]
[0.0],[0.0],[1.0],[0.031795697553260206],[47132956427.34219],[4.727896020382678],[0.031795697553260206]
[0.0],[0.0],[1.0],[0.022711949474383895],[118363470617.7651],[4.883458857328518],[0.022711949474383895]
[0.0],[0.0],[1.0],[0.00794372976997483],[174234805371.71484],[5.188260434574045],[0.00794372976997483]
[0.0],[0.0],[1.0],[0.021414526960006987],[114680725296.80327],[4.882075281497746],[0.021414526960006987]
[0.0],[0.0],[1.0],[0.03127691715516411],[90369205564.52579],[4.705470729013637],[0.03127691715516411]
[0.0],[0.0],[1.0],[0.024212688862502118],[69226832305.80658],[4.953512089957316],[0.024212688862502118]
[0.0],[0.0],[1.0],[0.020853664813593874],[67672035597.646255],[4.954358375192302],[0.020853664813593874]
[0.0],[0.0],[1.0],[0.020436868169444167],[117935552687.66374],[5.008529981365328],[0.020436868169444167]
[0.0],[0.0],[1.0],[0.018504740561461567],[141655715537.51453],[4.840632596051492],[0.018504740561461567]
[0.0],[0.0],[1.0],[0.02810783001339685],[68734860994.36972],[4.854091380993459],[0.02810783001339685]
[0.0],[0.0],[1.0],[0.024074080795565583],[72344131394.78539],[5.005020440538886],[0.024074080795565583]
[0.0],[0.0],[0.9999999999999999],[0.034300343485468635],[61181836683.910645],[4.741859633959571],[0.034300343485468635]
[0.0],[0.0],[1.0],[0.020311681891212702],[102396976404.44936],[4.809285137136913],[0.020311681891212702]
[0.0],[0.0],[1.0],[0.01923452381140092],[105362551734.43892],[4.922203888092374],[0.01923452381140092]
[0.0],[0.0],[1.0],[0.01730940557448748],[91118711006.9816],[5.032689671126951],[0.01730940557448748]
[0.0],[0.0],[1.0],[0.03302083703325777],[64560777323.37152],[4.527660018142833],[0.03302083703325777]
[0.0],[0.0],[1.0],[0.02791394025040439],[53637508891.81107],[4.838753373041642],[0.02791394025040439]
[0.0],[0.0],[0.9999999999999999],[0.02257449872682912],[64589952709.787674],[4.909885490522418],[0.02257449872682912]
[0.0],[0.0],[1.0],[0.009020579600925926],[190644933930.55548],[5.182955424179809],[0.009020579600925926]
[0.0],[0.0],[1.0],[0.03243202771235379],[56299513702.873215],[4.746703676939408],[0.03243202771235379]
[0.0],[0.0],[1.0],[0.01393172990661767],[131961658837.16599],[5.060461156752407],[0.01393172990661767]
[0.0],[0.0],[1.0],[0.032961159621017186],[50593493511.65208],[4.776306395906987],[0.032961159621017186]
[0.0],[0.0],[1.0],[0.019720846777218495],[92340075613.94698],[4.963477661795435],[0.019720846777218495]
[0.0],[0.0],[1.0],[0.01319858233676628],[99792492245.84103],[5.075395160040117],[0.01319858233676628]
[0.0],[0.0],[1.0],[0.021191051584610023],[107139223346.02061],[4.829574261550868],[0.021191051584610023]
[0.0],[0.0],[1.0],[0.03619269696383693],[56495498164.41167],[4.731027514166652],[0.03619269696383693]
[0.0],[0.0],[1.0],[0.02315811208491533],[57616778464.57125],[4.752332719959476],[0.02315811208491533]
[0.0],[0.0],[1.0],[0.03554447565840447],[55955582315.37118],[4.7161842695567815],[0.03554447565840447]
[0.0],[0.0],[1.0],[0.016265747265419437],[79600588501.69577],[5.039472459094724],[0.016265747265419437]
[0.0],[0.0],[1.0],[0.028471009349785942],[74541807753.27512],[4.685747385499546],[0.028471009349785942]
[0.0],[0.0],[1.0],[0.011564444269599924],[149545137781.1941],[4.981163192393327],[0.011564444269599924]
[0.0],[0.0],[1.0],[0.013606534757594137],[143861119562.86057],[5.029545607076445],[0.013606534757594137]
[0.0],[0.0],[0.9999999999999999],[0.01719664375429953],[82193690472.7952],[5.015222188880907],[0.01719664375429953]
[0.0],[0.0],[1.0],[0.03355564459701496],[47573499604.66988],[4.851398554326441],[0.03355564459701496]
[0.0],[0.0],[1.0],[0.02639034615408474],[86627982251.77516],[4.607696358505943],[0.02639034615408474]
[0.0],[0.0],[1.0],[0.011410236452449927],[159938954499.79565],[5.124473011922233],[0.011410236452449927]
[0.0],[0.0],[0.9999999999999999],[0.017588869971695772],[109358518549.84607],[4.987375277376055],[0.017588869971695772]
[0.0],[0.0],[1.0],[0.04578887031396218],[39058662105.33342],[4.717741831100603],[0.04578887031396218]
[0.0],[0.0],[1.0],[0.03263266440514619],[73526758411.10101],[4.7066214146492635],[0.03263266440514619]
[0.0],[0.0],[1.0],[0.048831070570569755],[53807429362.28583],[4.4309703515224745],[0.048831070570569755]
